Activation,Optimizer,Learning Rate,Batch Size,SLP Accuracy,MLP Accuracy
ReLU(),SGD,0.001,10,0.5258095109063813,0.6441810052838368
ReLU(),SGD,0.001,30,0.5176534344939709,0.6441810052838368
ReLU(),SGD,0.001,90,0.6260398320010838,0.6441810052838368
ReLU(),SGD,0.01,10,0.5234927516596667,0.6441810052838368
ReLU(),SGD,0.01,30,0.5470532448177754,0.6441810052838368
ReLU(),SGD,0.01,90,0.5882807207695435,0.6441810052838368
ReLU(),SGD,0.1,10,0.6588944587454275,0.6441810052838368
ReLU(),SGD,0.1,30,0.6524319197940659,0.6441810052838368
ReLU(),SGD,0.1,90,0.6491261346700989,0.6441810052838368
ReLU(),SGD,1.0,10,0.7199566454409971,0.6441810052838368
ReLU(),SGD,1.0,30,0.7314997967755048,0.6441810052838368
ReLU(),SGD,1.0,90,0.7249017748272591,0.6441810052838368
ReLU(),Adam,0.001,10,0.5174231133992684,0.6441810052838368
ReLU(),Adam,0.001,30,0.5898929684324618,0.6441810052838368
ReLU(),Adam,0.001,90,0.6078715621189541,0.6441810052838368
ReLU(),Adam,0.01,10,0.6556970600189677,0.6441810052838368
ReLU(),Adam,0.01,30,0.6573364042812627,0.6441810052838368
ReLU(),Adam,0.01,90,0.6622679853678364,0.6441810052838368
ReLU(),Adam,0.1,10,0.7215417965045386,0.6441810052838368
ReLU(),Adam,0.1,30,0.7611570247933884,0.6441810052838368
ReLU(),Adam,0.1,90,0.7430158515106354,0.6441810052838368
ReLU(),Adam,1.0,10,0.6983742040373933,0.6441810052838368
ReLU(),Adam,1.0,30,0.7134128166915052,0.6441810052838368
ReLU(),Adam,1.0,90,0.7479609808968976,0.6441810052838368
ReLU(),RMSprop,0.001,10,0.5946484216230863,0.6441810052838368
ReLU(),RMSprop,0.001,30,0.5520796640021677,0.6441810052838368
ReLU(),RMSprop,0.001,90,0.601287088470397,0.6441810052838368
ReLU(),RMSprop,0.01,10,0.6952851917084406,0.6441810052838368
ReLU(),RMSprop,0.01,30,0.7232759788646524,0.6441810052838368
ReLU(),RMSprop,0.01,90,0.6985503319333424,0.6441810052838368
ReLU(),RMSprop,0.1,10,0.7561847988077496,0.6441810052838368
ReLU(),RMSprop,0.1,30,0.7545860994445197,0.6441810052838368
ReLU(),RMSprop,0.1,90,0.7545725511448313,0.6441810052838368
ReLU(),RMSprop,1.0,10,0.6640563609267037,0.6441810052838368
ReLU(),RMSprop,1.0,30,0.6724969516325702,0.6441810052838368
ReLU(),RMSprop,1.0,90,0.6575802736756537,0.6441810052838368
Sigmoid(),SGD,0.001,10,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.001,30,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.001,90,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.01,10,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.01,30,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.01,90,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.1,10,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.1,30,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,0.1,90,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,1.0,10,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,1.0,30,0.6441810052838368,0.6441810052838368
Sigmoid(),SGD,1.0,90,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.001,10,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.001,30,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.001,90,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.01,10,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.01,30,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.01,90,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.1,10,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.1,30,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,0.1,90,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,1.0,10,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,1.0,30,0.6441810052838368,0.6441810052838368
Sigmoid(),Adam,1.0,90,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.001,10,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.001,30,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.001,90,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.01,10,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.01,30,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.01,90,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.1,10,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.1,30,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,0.1,90,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,1.0,10,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,1.0,30,0.6441810052838368,0.6441810052838368
Sigmoid(),RMSprop,1.0,90,0.6441810052838368,0.6441810052838368
Tanh(),SGD,0.001,10,0.39386262024115976,0.4120308901232896
Tanh(),SGD,0.001,30,0.4054193198753556,0.40207288985232353
Tanh(),SGD,0.001,90,0.5687711692182631,0.3674027909497358
Tanh(),SGD,0.01,10,0.597805175450481,0.5040644899065168
Tanh(),SGD,0.01,30,0.48746782278824,0.5223817910852189
Tanh(),SGD,0.01,90,0.5417423113399268,0.5317030212708305
Tanh(),SGD,0.1,10,0.6524454680937543,0.45943639073296294
Tanh(),SGD,0.1,30,0.6441674569841485,0.5818859233166238
Tanh(),SGD,0.1,90,0.6474596938084269,0.5982793659395746
Tanh(),SGD,1.0,10,0.686980083999458,0.5980896897439372
Tanh(),SGD,1.0,30,0.6935781059477036,0.5752201598699364
Tanh(),SGD,1.0,90,0.7134128166915052,0.7117192792304565
Tanh(),Adam,0.001,10,0.46065573770491797,0.5438558460913155
Tanh(),Adam,0.001,30,0.4824685002032245,0.6589757485435578
Tanh(),Adam,0.001,90,0.4711285733640428,0.5359842839723614
Tanh(),Adam,0.01,10,0.6572822110825092,0.6325294675518223
Tanh(),Adam,0.01,30,0.6491261346700989,0.6373526622408887
Tanh(),Adam,0.01,90,0.649099038070722,0.7281804633518493
Tanh(),Adam,0.1,10,0.7396829697872918,0.5982116244411326
Tanh(),Adam,0.1,30,0.7380707221243734,0.6495190353610621
Tanh(),Adam,0.1,90,0.7331526893374881,0.5843246172605339
Tanh(),Adam,1.0,10,0.6540983606557378,0.5221379216908278
Tanh(),Adam,1.0,30,0.6654924806936731,0.4946619699227748
Tanh(),Adam,1.0,90,0.6788240075870478,0.39714130876574993
Tanh(),RMSprop,0.001,10,0.5482996883891073,0.6044438422977917
Tanh(),RMSprop,0.001,30,0.5950684189134264,0.6557377049180328
Tanh(),RMSprop,0.001,90,0.6292914239262972,0.6011787020728898
Tanh(),RMSprop,0.01,10,0.6887413629589487,0.6609131553989973
Tanh(),RMSprop,0.01,30,0.7052160953800298,0.576737569435036
Tanh(),RMSprop,0.01,90,0.7216366346023574,0.6801788375558868
Tanh(),RMSprop,0.1,10,0.726568215688931,0.5053380300772252
Tanh(),RMSprop,0.1,30,0.7413900555480286,0.44304294811001216
Tanh(),RMSprop,0.1,90,0.73481913019916,0.5667389242650047
Tanh(),RMSprop,1.0,10,0.6474732421081154,0.515634737840401
Tanh(),RMSprop,1.0,30,0.6441810052838368,0.5962471209863163
Tanh(),RMSprop,1.0,90,0.6458338978458202,0.5802330307546404
